metric,baseline_mean,baseline_std,dos_mean,dos_std,fdi_mean,fdi_std,threshold_2sigma,threshold_3sigma,dos_%_above_2sigma,dos_%_above_3sigma,fdi_%_above_2sigma,fdi_%_above_3sigma
latency,0.004977911296162201,0.012835693962165795,0.005851086740879533,0.013755532358081423,0.0055313011407686335,0.01342167905982372,0.03064929922049379,0.04348499318265959,13.62283698886807,0.011021712774165107,12.73673718019714,0.022150847269908073
jitter,0.008161770938933142,0.015640133814873846,0.00978345784194864,0.016687809958340873,0.009341319636726103,0.016417048902733256,0.03944203856868084,0.05508217238355467,16.7089165656343,0.0,15.716026137999778,0.0
ipdv,-2.3410813420226925e-05,0.017641875831362012,-2.8792350931334625e-05,0.01934447647703915,-2.9890242551777664e-05,0.018888846423691145,0.035260340849303795,0.05290221668066581,10.106910613909402,0.0,9.646693986044966,0.0
