timestamp,src_ip,dst_ip,frame_len,latency,jitter,ipdv,packet_loss
1770721628.632456513,1.1.10.10,1.1.2.1,66,0.040226,0.000000,0.000000,0
1770721628.633220126,1.1.2.1,1.1.10.10,66,0.000035,0.040190,-0.040190,0
1770721629.155270593,1.1.10.10,1.1.1.1,72,0.040463,0.040427,0.040427,0
1770721629.155338892,1.1.1.1,1.1.10.10,66,0.000068,0.040394,-0.040394,0
1770721629.592012939,1.1.10.10,1.1.2.1,66,0.000101,0.000033,0.000033,0
1770721629.639663791,1.1.2.1,1.1.10.10,66,0.000071,0.000030,-0.000030,0
1770721630.156424210,1.1.10.10,1.1.1.1,66,0.040909,0.040838,0.040838,0
1770721630.158095811,1.1.1.1,1.1.10.10,66,0.000031,0.040878,-0.040878,0
1770721630.593010089,1.1.10.10,1.1.2.1,66,0.000081,0.000050,0.000050,0
1770721630.636312302,1.1.2.1,1.1.10.10,66,0.000083,0.000002,0.000002,0
1770721631.115972897,1.1.10.10,1.1.1.1,66,0.000051,0.000033,-0.000033,0
1770721631.162061205,1.1.1.1,1.1.10.10,66,0.000065,0.000014,0.000014,0
1770721631.592565248,1.1.10.10,1.1.2.1,66,0.000043,0.000022,-0.000022,0
1770721631.630937156,1.1.2.1,1.1.10.10,66,0.000070,0.000027,0.000027,0
1770721632.115397752,1.1.10.10,1.1.1.1,66,0.000062,0.000008,-0.000008,0
1770721632.150899545,1.1.1.1,1.1.10.10,66,0.000088,0.000026,0.000026,0
1770721632.632385561,1.1.10.10,1.1.2.1,72,0.038852,0.038764,0.038764,0
1770721632.632431634,1.1.2.1,1.1.10.10,66,0.000046,0.038806,-0.038806,0
1770721633.156423054,1.1.10.10,1.1.1.1,66,0.040864,0.040818,0.040818,0
1770721633.163317925,1.1.1.1,1.1.10.10,66,0.000047,0.040818,-0.040818,0
1770721633.614040928,1.1.10.10,1.1.2.1,72,0.021131,0.021084,0.021084,0
1770721633.614087506,1.1.2.1,1.1.10.10,66,0.000047,0.021084,-0.021084,0
1770721634.116817945,1.1.10.10,1.1.1.1,66,0.000095,0.000049,0.000049,0
1770721634.163262614,1.1.1.1,1.1.10.10,66,0.000045,0.000051,-0.000051,0
1770721634.631484295,1.1.10.10,1.1.2.1,72,0.037549,0.037504,0.037504,0
1770721634.631534061,1.1.2.1,1.1.10.10,66,0.000050,0.037499,-0.037499,0
1770721635.116170838,1.1.10.10,1.1.1.1,66,0.000041,0.000009,-0.000009,0
1770721635.153526761,1.1.1.1,1.1.10.10,66,0.000045,0.000005,0.000005,0
1770721635.629913886,1.1.10.10,1.1.2.1,72,0.036946,0.036901,0.036901,0
1770721635.629979278,1.1.2.1,1.1.10.10,66,0.000065,0.036881,-0.036881,0
1770721636.148334735,1.1.10.10,1.1.1.1,72,0.031676,0.031610,0.031610,0
1770721636.148422535,1.1.1.1,1.1.10.10,66,0.000088,0.031588,-0.031588,0
